USGS	12210700	2022-10-27 00:00	PDT	47.4	P
USGS	12210700	2022-10-27 00:15	PDT	47.5	P
USGS	12210700	2022-10-27 00:30	PDT	47.6	P
USGS	12210700	2022-10-27 00:45	PDT	47.3	P
USGS	12210700	2022-10-27 01:00	PDT	47.4	P
USGS	12210700	2022-10-27 01:15	PDT	47.5	P
USGS	12210700	2022-10-27 01:30	PDT	47.9	P
USGS	12210700	2022-10-27 01:45	PDT	48.2	P
USGS	12210700	2022-10-27 02:00	PDT	48.6	P
USGS	12210700	2022-10-27 02:15	PDT	49.0	P
USGS	12210700	2022-10-27 02:30	PDT	49.1	P
USGS	12210700	2022-10-27 02:45	PDT	48.9	P
USGS	12210700	2022-10-27 03:00	PDT	48.8	P
USGS	12210700	2022-10-27 03:15	PDT	48.6	P
USGS	12210700	2022-10-27 03:30	PDT	48.3	P
USGS	12210700	2022-10-27 03:45	PDT	48.3	P
USGS	12210700	2022-10-27 04:00	PDT	48.5	P
USGS	12210700	2022-10-27 04:15	PDT	48.0	P
USGS	12210700	2022-10-27 04:30	PDT	48.4	P
USGS	12210700	2022-10-27 04:45	PDT	48.4	P
USGS	12210700	2022-10-27 05:00	PDT	48.5	P
USGS	12210700	2022-10-27 05:15	PDT	48.2	P
USGS	12210700	2022-10-27 05:30	PDT	49.4	P
USGS	12210700	2022-10-27 05:45	PDT	50.1	P
USGS	12210700	2022-10-27 06:00	PDT	50.0	P
USGS	12210700	2022-10-27 06:15	PDT	50.1	P
USGS	12210700	2022-10-27 06:30	PDT	50.2	P
USGS	12210700	2022-10-27 06:45	PDT	50.7	P
USGS	12210700	2022-10-27 07:00	PDT	50.5	P
USGS	12210700	2022-10-27 07:15	PDT	51.0	P
USGS	12210700	2022-10-27 07:30	PDT	51.3	P
USGS	12210700	2022-10-27 07:45	PDT	52.1	P
USGS	12210700	2022-10-27 08:00	PDT	51.9	P
USGS	12210700	2022-10-27 08:15	PDT	52.3	P
USGS	12210700	2022-10-27 08:30	PDT	52.6	P
USGS	12210700	2022-10-27 08:45	PDT	51.4	P
USGS	12210700	2022-10-27 09:00	PDT	51.5	P
USGS	12210700	2022-10-27 09:15	PDT	52.3	P
USGS	12210700	2022-10-27 09:30	PDT	53.1	P
USGS	12210700	2022-10-27 09:45	PDT	53.5	P
USGS	12210700	2022-10-27 10:00	PDT	55.0	P
USGS	12210700	2022-10-27 10:15	PDT	56.0	P
USGS	12210700	2022-10-27 10:30	PDT	56.5	P
